run,learning_rate,gamma,n_steps,ent_coef,vf_coef,gae_lambda,mean_reward,std_reward,convergence_step,train_time_s
1,0.0007,0.99,5,0.01,0.5,1.0,274.34,5.93,200,19.9
2,0.0003,0.99,16,0.005,0.25,0.95,-68.22,4.19,0,11.3
3,0.001,0.95,5,0.02,0.5,1.0,-44.56,8.11,0,19.9
4,0.0005,0.98,32,0.01,0.75,0.9,-80.45,5.33,0,9.0
5,0.0007,0.97,10,0.0,0.5,0.95,260.26,3.23,1600,14.2
6,0.0002,0.99,5,0.01,0.5,0.98,266.65,2.64,793,20.0
7,0.001,0.96,8,0.03,0.25,1.0,255.45,7.84,3200,15.4
8,0.0005,0.995,20,0.005,0.5,0.95,-208.0,3.24,0,10.4
9,0.0007,0.93,5,0.02,0.5,1.0,253.57,8.44,400,19.9
10,0.0003,0.99,10,0.01,0.5,0.95,265.38,3.52,199,14.2
