run,learning_rate,gamma,n_steps,clip_range,ent_coef,batch_size,n_epochs,gae_lambda,mean_reward,std_reward,convergence_step,train_time_s
1,0.0003,0.99,2048,0.2,0.01,64,10,0.95,153.45,3.74,10777,22.8
2,0.0001,0.99,1024,0.1,0.005,128,5,0.98,-211.19,3.65,0,12.2
3,0.0005,0.95,2048,0.3,0.02,64,10,0.9,282.74,2.1,8000,23.7
4,0.0003,0.98,4096,0.2,0.01,256,15,0.95,-174.08,3.89,0,16.4
5,0.0007,0.97,512,0.15,0.0,32,10,0.95,75.54,5.47,2348,36.7
6,0.0002,0.99,2048,0.25,0.01,64,10,0.92,260.37,3.35,10563,23.2
7,0.001,0.96,1024,0.2,0.03,64,5,0.95,251.96,0.9,6203,14.9
8,0.0003,0.995,2048,0.2,0.005,128,20,0.99,208.23,1.78,25749,24.3
9,0.0005,0.93,1024,0.1,0.02,64,10,0.95,279.25,2.49,10408,20.0
10,0.0003,0.99,2048,0.2,0.01,64,10,0.95,284.1,1.51,12190,19.7
